DATEPRD,prod_X7405f,prod_X7078,prod_X5599,prod_X7289,in_X7405f,in_X7078,in_X5599,in_X5351,in_X7289,pres_X7405f,pres_X7078,pres_X5599,pres_X5351,pres_X7289,prod_X5351
25.03.2014,0.0,219.97,48.29,178.5,0.0,53.77,1664.34,122.3,0.0,0.0,256.4124910508301,0.0,276.31511862201194,208.31327752370512,9.81
26.03.2014,0.0,1172.89,269.0,72.79,0.0,147.51,4770.16,3122.64,0.0,0.0,242.57675166666667,0.0,258.183935625,200.11352416666668,486.84
27.03.2014,0.0,497.54,89.6,197.56,0.0,89.38,2269.68,1509.83,0.0,0.0,238.57748764390107,0.0,261.341869489216,208.807112938208,164.78
28.03.2014,0.0,179.61,20.58,295.02,0.0,30.52,493.1,3475.35,0.0,0.0,260.19989200016926,0.0,260.6207004166667,214.06814916666667,401.02
29.03.2014,0.0,357.54,103.6,190.24,0.0,58.31,2382.29,1170.58,0.0,0.0,259.27491162522614,0.0,268.2931897072546,212.8570680872364,140.74
30.03.2014,0.0,1111.8,234.42,343.28,0.0,153.51,4563.64,3430.13,0.0,0.0,235.74184022727272,0.0,255.79501,199.96975545454546,487.12
31.03.2014,0.0,1261.62,247.62,232.99,0.0,171.46,4745.08,3677.86,0.0,0.0,235.01954375,0.0,255.80096479166667,200.09215166666667,530.62
01.04.2014,0.0,1260.09,246.51,244.15,0.0,172.76,4765.39,3694.08,0.0,0.0,235.15580833333334,0.0,255.78118,201.4224075,528.32
02.04.2014,0.0,1262.15,247.15,243.97,0.0,173.27,4783.94,3708.42,0.0,0.0,235.40079708333334,0.0,255.697329375,201.166395625,529.68
03.04.2014,0.0,1266.28,248.03,244.72,0.0,174.0,4805.62,3725.35,0.0,0.0,235.28930333333332,0.0,255.81024791666667,200.82722583333333,531.58
04.04.2014,0.0,1280.31,206.64,248.08,0.0,152.74,5324.8,3280.28,0.0,0.0,235.33332916666666,0.0,255.89589104166666,200.36968458333334,539.14
